Column1,Assemblage,m,Method,Order.q,qD,qD.LCL,qD.UCL,SC,SC.LCL,SC.UCL
1,Niño,1,Rarefaction,0,1,1,1,0.198810622,0.195750707,0.201870538
2,Niño,2089,Rarefaction,0,101.9291714,100.7846875,103.0736554,0.987744543,0.987365543,0.988123542
3,Niño,4178,Rarefaction,0,118.3203297,116.9106304,119.7300291,0.994937556,0.994715528,0.995159584
4,Niño,6266,Rarefaction,0,126.1063329,124.5751213,127.6375444,0.997264336,0.997086791,0.997441882
5,Niño,8355,Rarefaction,0,130.6014939,128.9797622,132.2232257,0.998309784,0.998137596,0.998481973
6,Niño,10443,Rarefaction,0,133.5079923,131.7676462,135.2483383,0.998852712,0.998679805,0.999025618
7,Niño,12532,Rarefaction,0,135.5524428,133.6486043,137.4562814,0.999163315,0.998991136,0.999335494
8,Niño,14620,Rarefaction,0,137.0860107,134.9802956,139.1917258,0.99935324,0.999183232,0.999523249
9,Niño,16709,Rarefaction,0,138.3006615,135.966635,140.6346879,0.999475382,0.999308282,0.999642482
10,Niño,18798,Rarefaction,0,139.3059359,136.7276486,141.8842232,0.99955698,0.999393013,0.999720947
11,Niño,20886,Rarefaction,0,140.1687377,137.337457,143.0000185,0.999613287,0.999452325,0.999774249
12,Niño,22975,Rarefaction,0,140.9324786,137.8435331,144.0214241,0.999653357,0.999495037,0.999811676
13,Niño,25063,Rarefaction,0,141.6241758,138.275502,144.9728497,0.999682657,0.999526467,0.999838848
14,Niño,27152,Rarefaction,0,142.2630659,138.6534692,145.8726627,0.999704682,0.999550028,0.999859335
15,Niño,29240,Rarefaction,0,142.8612753,138.9901686,146.7323819,0.999721621,0.999567881,0.999875362
16,Niño,31329,Rarefaction,0,143.4283817,139.2948384,147.5619249,0.99973492,0.999581467,0.999888374
17,Niño,33417,Rarefaction,0,143.9704286,139.5734273,148.3674299,0.999745486,0.999591697,0.999899274
18,Niño,35506,Rarefaction,0,144.4929679,139.8307397,149.1551962,0.999753923,0.999599176,0.999908669
19,Niño,37595,Rarefaction,0,144.9997606,140.0700712,149.9294501,0.999760613,0.999604266,0.99991696
20,Niño,37596,Observed,0,145,140.0701819,149.9298181,0.999760616,0.999604268,0.999916964
21,Niño,37597,Extrapolation,0,145.0002394,140.0702926,149.9301862,0.999760618,0.999604269,0.999916968
22,Niño,38249,Extrapolation,0,145.1557171,140.14172,150.1697141,0.999762457,0.999605472,0.999919441
23,Niño,38902,Extrapolation,0,145.3102367,140.21175,150.4087234,0.999764283,0.999606663,0.999921903
24,Niño,39555,Extrapolation,0,145.4635681,140.2802823,150.6468539,0.999766096,0.999607844,0.999924347
25,Niño,40208,Extrapolation,0,145.6157204,140.3473275,150.8841132,0.999767895,0.999609019,0.99992677
26,Niño,40860,Extrapolation,0,145.7664723,140.412797,151.1201476,0.999769677,0.999610189,0.999929164
27,Niño,41513,Extrapolation,0,145.9162952,140.4769024,151.3556881,0.999771448,0.99961136,0.999931536
28,Niño,42166,Extrapolation,0,146.0649661,140.5395532,151.590379,0.999773205,0.999612531,0.99993388
29,Niño,42819,Extrapolation,0,146.2124936,140.6007608,151.8242265,0.999774949,0.999613706,0.999936193
30,Niño,43472,Extrapolation,0,146.3588867,140.6605369,152.0572365,0.99977668,0.999614885,0.999938475
31,Niño,44124,Extrapolation,0,146.5039324,140.7188054,152.2890595,0.999778395,0.999616068,0.999940721
32,Niño,44777,Extrapolation,0,146.6480844,140.7757574,152.5204114,0.999780099,0.99961726,0.999942938
33,Niño,45430,Extrapolation,0,146.7911278,140.8313152,152.7509404,0.99978179,0.99961846,0.99994512
34,Niño,46083,Extrapolation,0,146.9330712,140.885492,152.9806504,0.999783468,0.999619668,0.999947268
35,Niño,46736,Extrapolation,0,147.0739231,140.9383014,153.2095448,0.999785133,0.999620886,0.999949381
36,Niño,47388,Extrapolation,0,147.2134786,140.9896795,153.4372778,0.999786783,0.999622111,0.999951455
37,Niño,48041,Extrapolation,0,147.3521742,141.039798,153.6645504,0.999788423,0.999623347,0.999953498
38,Niño,48694,Extrapolation,0,147.4898032,141.0885915,153.8910149,0.99979005,0.999624594,0.999955505
39,Niño,49347,Extrapolation,0,147.6263739,141.1360748,154.1166729,0.999791664,0.99962585,0.999957478
40,Niño,50000,Extrapolation,0,147.7618943,141.1822629,154.3415257,0.999793266,0.999627117,0.999959415
41,Niño,1,Rarefaction,1,1,1,1,0.198810622,0.195750707,0.201870538
42,Niño,2089,Rarefaction,1,13.92439478,13.67249839,14.17629118,0.987744543,0.987365543,0.988123542
43,Niño,4178,Rarefaction,1,14.15882318,13.90201977,14.41562659,0.994937556,0.994715528,0.995159584
44,Niño,6266,Rarefaction,1,14.2425661,13.98396415,14.50116806,0.997264336,0.997086791,0.997441882
45,Niño,8355,Rarefaction,1,14.28534508,14.02584722,14.54484293,0.998309784,0.998137596,0.998481973
46,Niño,10443,Rarefaction,1,14.3111919,14.05116471,14.57121908,0.998852712,0.998679805,0.999025618
47,Niño,12532,Rarefaction,1,14.32848478,14.06810649,14.58886306,0.999163315,0.998991136,0.999335494
48,Niño,14620,Rarefaction,1,14.34085197,14.08022234,14.6014816,0.99935324,0.999183232,0.999523249
49,Niño,16709,Rarefaction,1,14.35014551,14.08932596,14.61096507,0.999475382,0.999308282,0.999642482
50,Niño,18798,Rarefaction,1,14.35738556,14.09641703,14.6183541,0.99955698,0.999393013,0.999720947
51,Niño,20886,Rarefaction,1,14.36318671,14.10209801,14.62427541,0.999613287,0.999452325,0.999774249
52,Niño,22975,Rarefaction,1,14.367947,14.10675913,14.62913487,0.999653357,0.999495037,0.999811676
53,Niño,25063,Rarefaction,1,14.37192313,14.11065203,14.63319422,0.999682657,0.999526467,0.999838848
54,Niño,27152,Rarefaction,1,14.37529964,14.11395765,14.63664164,0.999704682,0.999550028,0.999859335
55,Niño,29240,Rarefaction,1,14.37820215,14.11679911,14.63960519,0.999721621,0.999567881,0.999875362
56,Niño,31329,Rarefaction,1,14.38072784,14.11927169,14.64218399,0.99973492,0.999581467,0.999888374
57,Niño,33417,Rarefaction,1,14.38294503,14.12144237,14.64444768,0.999745486,0.999591697,0.999899274
58,Niño,35506,Rarefaction,1,14.38490991,14.12336626,14.64645356,0.999753923,0.999599176,0.999908669
59,Niño,37595,Rarefaction,1,14.38666345,14.12508351,14.64824339,0.999760613,0.999604266,0.99991696
60,Niño,37596,Observed,1,14.38666424,14.12508428,14.6482442,0.999760616,0.999604268,0.999916964
61,Niño,37597,Extrapolation,1,14.38666504,14.12508506,14.64824501,0.999760618,0.999604269,0.999916968
62,Niño,38249,Extrapolation,1,14.38717874,14.12558821,14.64876928,0.999762457,0.999605472,0.999919441
63,Niño,38902,Extrapolation,1,14.38768484,14.12608395,14.64928574,0.999764283,0.999606663,0.999921903
64,Niño,39555,Extrapolation,1,14.38818268,14.12657162,14.64979374,0.999766096,0.999607844,0.999924347
65,Niño,40208,Extrapolation,1,14.38867239,14.12705137,14.65029341,0.999767895,0.999609019,0.99992677
66,Niño,40860,Extrapolation,1,14.38915338,14.12752261,14.65078415,0.999769677,0.999610189,0.999929164
67,Niño,41513,Extrapolation,1,14.38962725,14.12798691,14.65126758,0.999771448,0.99961136,0.999931536
68,Niño,42166,Extrapolation,1,14.39009338,14.12844365,14.6517431,0.999773205,0.999612531,0.99993388
69,Niño,42819,Extrapolation,1,14.3905519,14.12889298,14.65221082,0.999774949,0.999613706,0.999936193
70,Niño,43472,Extrapolation,1,14.39100293,14.129335,14.65267087,0.99977668,0.999614885,0.999938475
71,Niño,44124,Extrapolation,1,14.39144593,14.12976917,14.65312269,0.999778395,0.999616068,0.999940721
72,Niño,44777,Extrapolation,1,14.39188238,14.13019695,14.6535678,0.999780099,0.99961726,0.999942938
73,Niño,45430,Extrapolation,1,14.39231169,14.13061778,14.65400561,0.99978179,0.99961846,0.99994512
74,Niño,46083,Extrapolation,1,14.392734,14.13103176,14.65443625,0.999783468,0.999619668,0.999947268
75,Niño,46736,Extrapolation,1,14.39314942,14.13143902,14.65485982,0.999785133,0.999620886,0.999949381
76,Niño,47388,Extrapolation,1,14.39355743,14.13183904,14.65527582,0.999786783,0.999622111,0.999951455
77,Niño,48041,Extrapolation,1,14.39395941,14.13223318,14.65568564,0.999788423,0.999623347,0.999953498
78,Niño,48694,Extrapolation,1,14.39435482,14.1326209,14.65608874,0.99979005,0.999624594,0.999955505
79,Niño,49347,Extrapolation,1,14.39474378,14.13300233,14.65648523,0.999791664,0.99962585,0.999957478
80,Niño,50000,Extrapolation,1,14.39512638,14.13337755,14.65687522,0.999793266,0.999627117,0.999959415
81,Niño,1,Rarefaction,2,1,1,1,0.198810622,0.195750707,0.201870538
82,Niño,2089,Rarefaction,2,5.02022775,4.942922512,5.097532988,0.987744543,0.987365543,0.988123542
83,Niño,4178,Rarefaction,2,5.025065371,4.947592232,5.102538511,0.994937556,0.994715528,0.995159584
84,Niño,6266,Rarefaction,2,5.026679469,4.949150268,5.10420867,0.997264336,0.997086791,0.997441882
85,Niño,8355,Rarefaction,2,5.02748739,4.94993012,5.105044659,0.998309784,0.998137596,0.998481973
86,Niño,10443,Rarefaction,2,5.027972051,4.950397941,5.10554616,0.998852712,0.998679805,0.999025618
87,Niño,12532,Rarefaction,2,5.028295377,4.950710032,5.105880723,0.999163315,0.998991136,0.999335494
88,Niño,14620,Rarefaction,2,5.028526243,4.950932874,5.106119611,0.99935324,0.999183232,0.999523249
89,Niño,16709,Rarefaction,2,5.028699493,4.951100103,5.106298882,0.999475382,0.999308282,0.999642482
90,Niño,18798,Rarefaction,2,5.028834244,4.951230172,5.106438317,0.99955698,0.999393013,0.999720947
91,Niño,20886,Rarefaction,2,5.028942001,4.951334183,5.106549818,0.999613287,0.999452325,0.999774249
92,Niño,22975,Rarefaction,2,5.029030212,4.951419328,5.106641096,0.999653357,0.999495037,0.999811676
93,Niño,25063,Rarefaction,2,5.029103689,4.951490251,5.106717127,0.999682657,0.999526467,0.999838848
94,Niño,27152,Rarefaction,2,5.029165894,4.951550294,5.106781494,0.999704682,0.999550028,0.999859335
95,Niño,29240,Rarefaction,2,5.029219188,4.951601736,5.106836641,0.999721621,0.999567881,0.999875362
96,Niño,31329,Rarefaction,2,5.0292654,4.951646342,5.106884459,0.99973492,0.999581467,0.999888374
97,Niño,33417,Rarefaction,2,5.029305817,4.951685354,5.106926281,0.999745486,0.999591697,0.999899274
98,Niño,35506,Rarefaction,2,5.029341497,4.951719794,5.106963201,0.999753923,0.999599176,0.999908669
99,Niño,37595,Rarefaction,2,5.029373213,4.951750407,5.106996018,0.999760613,0.999604266,0.99991696
100,Niño,37596,Observed,2,5.029373227,4.951750421,5.106996033,0.999760616,0.999604268,0.999916964
101,Niño,37597,Extrapolation,2,5.029373241,4.951750434,5.106996048,0.999760618,0.999604269,0.999916968
102,Niño,38249,Extrapolation,2,5.02938243,4.951759303,5.107005556,0.999762457,0.999605472,0.999919441
103,Niño,38902,Extrapolation,2,5.029391323,4.951767888,5.107014759,0.999764283,0.999606663,0.999921903
104,Niño,39555,Extrapolation,2,5.029399924,4.951776189,5.107023658,0.999766096,0.999607844,0.999924347
105,Niño,40208,Extrapolation,2,5.029408244,4.951784221,5.107032268,0.999767895,0.999609019,0.99992677
106,Niño,40860,Extrapolation,2,5.029416287,4.951791984,5.10704059,0.999769677,0.999610189,0.999929164
107,Niño,41513,Extrapolation,2,5.029424089,4.951799515,5.107048663,0.999771448,0.99961136,0.999931536
108,Niño,42166,Extrapolation,2,5.029431649,4.951806812,5.107056486,0.999773205,0.999612531,0.99993388
109,Niño,42819,Extrapolation,2,5.029438979,4.951813887,5.107064071,0.999774949,0.999613706,0.999936193
110,Niño,43472,Extrapolation,2,5.029446089,4.95182075,5.107071428,0.99977668,0.999614885,0.999938475
111,Niño,44124,Extrapolation,2,5.029452977,4.951827399,5.107078556,0.999778395,0.999616068,0.999940721
112,Niño,44777,Extrapolation,2,5.029459676,4.951833864,5.107085487,0.999780099,0.99961726,0.999942938
113,Niño,45430,Extrapolation,2,5.029466181,4.951840144,5.107092219,0.99978179,0.99961846,0.99994512
114,Niño,46083,Extrapolation,2,5.029472503,4.951846246,5.10709876,0.999783468,0.999619668,0.999947268
115,Niño,46736,Extrapolation,2,5.029478647,4.951852177,5.107105118,0.999785133,0.999620886,0.999949381
116,Niño,47388,Extrapolation,2,5.029484614,4.951857936,5.107111292,0.999786783,0.999622111,0.999951455
117,Niño,48041,Extrapolation,2,5.029490427,4.951863547,5.107117307,0.999788423,0.999623347,0.999953498
118,Niño,48694,Extrapolation,2,5.029496084,4.951869007,5.107123161,0.99979005,0.999624594,0.999955505
119,Niño,49347,Extrapolation,2,5.029501592,4.951874324,5.10712886,0.999791664,0.99962585,0.999957478
120,Niño,50000,Extrapolation,2,5.029506956,4.951879501,5.10713441,0.999793266,0.999627117,0.999959415
121,Niña,1,Rarefaction,0,1,1,1,0.302856159,0.297707103,0.308005216
122,Niña,2362,Rarefaction,0,99.49286179,98.18150281,100.8042208,0.989573307,0.98921528,0.989931333
123,Niña,4723,Rarefaction,0,113.7420117,112.4062861,115.0777373,0.996621787,0.996412794,0.996830781
124,Niña,7084,Rarefaction,0,119.0768058,117.8622735,120.2913382,0.998523659,0.998384208,0.99866311
125,Niña,9445,Rarefaction,0,121.5910264,120.5367544,122.6452983,0.999245925,0.999137436,0.999354414
126,Niña,11806,Rarefaction,0,122.9334061,122.0353544,123.8314579,0.999578617,0.99948797,0.999669265
127,Niña,14168,Rarefaction,0,123.7036571,122.9362196,124.4710946,0.999751831,0.999675499,0.999828163
128,Niña,16529,Rarefaction,0,124.1646558,123.4940141,124.8352975,0.999848807,0.999785261,0.999912353
129,Niña,18890,Rarefaction,0,124.4489616,123.8420604,125.0558628,0.99990547,0.999853326,0.999957613
130,Niña,21251,Rarefaction,0,124.6288009,124.0588926,125.1987093,0.999939356,0.999897034,0.999981678
131,Niña,23612,Rarefaction,0,124.7457721,124.1946804,125.2968638,0.999959874,0.999925612,0.999994136
132,Niña,25973,Rarefaction,0,124.8245116,124.2818757,125.3671475,0.999972421,0.999944367,1
133,Niña,28335,Rarefaction,0,124.8797109,124.3407071,125.4187147,0.999980253,0.999956558,1
134,Niña,30696,Rarefaction,0,124.9198983,124.3828769,125.4569197,0.99998538,0.999964309,1
135,Niña,33057,Rarefaction,0,124.9498763,124.4145607,125.4851918,0.999989061,0.999969144,1
136,Niña,35418,Rarefaction,0,124.9720914,124.4383791,125.5058037,0.999992049,0.999972193,1
137,Niña,37779,Rarefaction,0,124.9876386,124.4548633,125.520414,0.999994758,0.999974247,1
138,Niña,40140,Rarefaction,0,124.9969102,124.4634101,125.5304102,0.999997385,0.999975779,1
139,Niña,42502,Rarefaction,0,125,124.4628791,125.5371209,1,0.999977009,1
140,Niña,42503,Observed,0,125,124.4628767,125.5371233,1,0.999986026,1
141,Niña,42504,Extrapolation,0,125,124.4628754,125.5371246,1,0.999986027,1
142,Niña,42898,Extrapolation,0,125,124.4623116,125.5376884,1,0.999986283,1
143,Niña,43293,Extrapolation,0,125,124.4617035,125.5382965,1,0.999986536,1
144,Niña,43687,Extrapolation,0,125,124.4610569,125.5389431,1,0.999986783,1
145,Niña,44082,Extrapolation,0,125,124.4603713,125.5396287,1,0.999987027,1
146,Niña,44476,Extrapolation,0,125,124.459653,125.540347,1,0.999987265,1
147,Niña,44871,Extrapolation,0,125,124.4589007,125.5410993,1,0.9999875,1
148,Niña,45265,Extrapolation,0,125,124.4581207,125.5418793,1,0.999987729,1
149,Niña,45660,Extrapolation,0,125,124.4573114,125.5426886,1,0.999987955,1
150,Niña,46054,Extrapolation,0,125,124.456479,125.543521,1,0.999988176,1
151,Niña,46449,Extrapolation,0,125,124.4556214,125.5443786,1,0.999988394,1
152,Niña,46843,Extrapolation,0,125,124.454745,125.545255,1,0.999988607,1
153,Niña,47238,Extrapolation,0,125,124.4538472,125.5461528,1,0.999988817,1
154,Niña,47632,Extrapolation,0,125,124.4529344,125.5470656,1,0.999989023,1
155,Niña,48027,Extrapolation,0,125,124.4520037,125.5479963,1,0.999989225,1
156,Niña,48421,Extrapolation,0,125,124.4510613,125.5489387,1,0.999989423,1
157,Niña,48816,Extrapolation,0,125,124.450104,125.549896,1,0.999989617,1
158,Niña,49210,Extrapolation,0,125,124.4491382,125.5508618,1,0.999989808,1
159,Niña,49605,Extrapolation,0,125,124.4481604,125.5518396,1,0.999989996,1
160,Niña,50000,Extrapolation,0,125,124.4471742,125.5528258,1,0.99999018,1
161,Niña,1,Rarefaction,1,1,1,1,0.302856159,0.297707103,0.308005216
162,Niña,2362,Rarefaction,1,10.38332093,10.1414647,10.62517716,0.989573307,0.98921528,0.989931333
163,Niña,4723,Rarefaction,1,10.53166858,10.28624747,10.7770897,0.996621787,0.996412794,0.996830781
164,Niña,7084,Rarefaction,1,10.58248998,10.33602941,10.82895054,0.998523659,0.998384208,0.99866311
165,Niña,9445,Rarefaction,1,10.6077535,10.36079713,10.85470988,0.999245925,0.999137436,0.999354414
166,Niña,11806,Rarefaction,1,10.62276213,10.37550815,10.87001611,0.999578617,0.99948797,0.999669265
167,Niña,14168,Rarefaction,1,10.63267629,10.38522024,10.88013234,0.999751831,0.999675499,0.999828163
168,Niña,16529,Rarefaction,1,10.63969549,10.39209191,10.88729907,0.999848807,0.999785261,0.999912353
169,Niña,18890,Rarefaction,1,10.64492302,10.39720643,10.89263961,0.99990547,0.999853326,0.999957613
170,Niña,21251,Rarefaction,1,10.64896537,10.40115933,10.89677141,0.999939356,0.999897034,0.999981678
171,Niña,23612,Rarefaction,1,10.65218406,10.4043055,10.90006262,0.999959874,0.999925612,0.999994136
172,Niña,25973,Rarefaction,1,10.65480758,10.40686912,10.90274603,0.999972421,0.999944367,1
173,Niña,28335,Rarefaction,1,10.65698807,10.40899938,10.90497676,0.999980253,0.999956558,1
174,Niña,30696,Rarefaction,1,10.65882774,10.4107964,10.90685907,0.99998538,0.999964309,1
175,Niña,33057,Rarefaction,1,10.66040142,10.41233346,10.90846937,0.999989061,0.999969144,1
176,Niña,35418,Rarefaction,1,10.6617629,10.4136632,10.9098626,0.999992049,0.999972193,1
177,Niña,37779,Rarefaction,1,10.66295234,10.41482487,10.91107981,0.999994758,0.999974247,1
178,Niña,40140,Rarefaction,1,10.66400029,10.41584835,10.91215223,0.999997385,0.999975779,1
179,Niña,42502,Rarefaction,1,10.66493081,10.41675718,10.91310445,1,0.999977009,1
180,Niña,42503,Observed,1,10.66493119,10.41675754,10.91310483,1,0.999986026,1
181,Niña,42504,Extrapolation,1,10.66493156,10.41675791,10.91310521,1,0.999986027,1
